lien,groupe_parlementaire,departement
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1245/(legislature)/47,Républicain radical et radical-socialiste,Gers
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1265/(legislature)/47,Républicain radical et radical-socialiste,Madagascar
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1294/(legislature)/47,Républicains sociaux,Charente-Maritime
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1296/(legislature)/47,Indépendants et paysans d'action sociale,Loir-et-Cher
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1320/(legislature)/47,Mouvement républicain populaire,Mayenne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1346/(legislature)/47,Communiste,Seine
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1350/(legislature)/47,Paysan,Morbihan
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1357/(legislature)/47,Communiste,Rhône
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1367/(legislature)/47,Républicain radical et radical-socialiste,Lot-et-Garonne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1373/(legislature)/47,Communiste,Hérault
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1383/(legislature)/47,Union et fraternité francaise,Haute-Garonne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1413/(legislature)/47,Communiste,Seine-Maritime
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1477/(legislature)/47,Communiste,Haute-Marne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1476/(legislature)/47,Socialiste,Drôme
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1475/(legislature)/47,Mouvement républicain populaire,Seine-et-Oise
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1482/(legislature)/47,Communiste,Seine-et-Marne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1491/(legislature)/47,Républicain radical et radical-socialiste,Basses-Pyrénées
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1510/(legislature)/47,Communiste,Gers
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1523/(legislature)/47,Mouvement républicain populaire,Pas-de-Calais
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1544/(legislature)/47,Mouvement républicain populaire,Seine
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1575/(legislature)/47,Communiste,Bouches-du-Rhône
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1576/(legislature)/47,,La Réunion
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1579/(legislature)/47,Communiste,Martinique
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/10179/(legislature)/47,Républicains sociaux,Gironde
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1612/(legislature)/47,Indépendants et paysans d'action sociale,Yonne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1615/(legislature)/47,Républicain progressiste,Vosges
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1663/(legislature)/47,Union et fraternité francaise,Loire-Atlantique
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1670/(legislature)/47,Socialiste,Var
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1679/(legislature)/47,Mouvement républicain populaire,Marne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1699/(legislature)/47,Indépendants et paysans d'action sociale,Ain
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1705/(legislature)/47,Républicain radical et radical-socialiste,Deux-Sèvres
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1706/(legislature)/47,Républicains sociaux,Maine-et-Loire
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1732/(legislature)/47,Union démocratique et socialiste de la Résistance et du RDA,Cantal
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1756/(legislature)/47,Union démocratique et socialiste de la Résistance et du RDA,Comores
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1761/(legislature)/47,Communiste,Loiret
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1770/(legislature)/47,Communiste,Cher
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1817/(legislature)/47,Indépendants et paysans d'action sociale,Nord
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1860/(legislature)/47,Républicain radical et radical-socialiste,Seine
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1871/(legislature)/47,Union et fraternité francaise,Loiret
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1885/(legislature)/47,Communiste,Seine
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1889/(legislature)/47,Indépendants et paysans d'action sociale,Seine
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1894/(legislature)/47,Mouvement républicain populaire,Finistère
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1936/(legislature)/47,Union démocratique et socialiste de la Résistance et du RDA,Niger
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1940/(legislature)/47,Indépendants d'outre-mer,Haute-Volta
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1949/(legislature)/47,Socialiste,Pyrénées-Orientales
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1954/(legislature)/47,Communiste,Pas-de-Calais
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1961/(legislature)/47,Communiste,Yonne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1964/(legislature)/47,Socialiste,Mayenne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1973/(legislature)/47,Républicains sociaux,Alpes-Maritimes
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1993/(legislature)/47,Mouvement républicain populaire,Hérault
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1992/(legislature)/47,Mouvement républicain populaire,Haute-Garonne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1997/(legislature)/47,Républicains sociaux,Rhône
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1999/(legislature)/47,Union et fraternité française,Indre-et-Loire
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2017/(legislature)/47,Indépendants et paysans d'action sociale,Orne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2020/(legislature)/47,Union démocratique et socialiste de la Résistance et du RDA,Côte-d'Ivoire
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2022/(legislature)/47,Indépendants et paysans d'action sociale,Allier
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2026/(legislature)/47,Indépendants et paysans d'action sociale,Seine-Maritime
